Time,Score_update,Team_initials,Action_1,Position,Player_number,Player_Name,Action_2,Player2_Number,Player2_Name,Goalkeeper_Number,Goalkeeper_Name,Section_number
0.00,,,Start 1:e halvleg,,,,,,,,,1
0.46,,REH,Skud reddet,Gbr,14,Nicolaj SPANGGAARD,,,,12,Fabian NORSTEN,1
1.22,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,81,Alfred JÖNSSON,,,1
1.51,,AAH,Straffekast reddet,,15,Jack THURIN,Retur,,,16,Ágúst BJÖRGVINSSON,1
2.25,1-0,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Ágúst BJÖRGVINSSON,1
2.55,,REH,Skud reddet,PL,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN,1
3.39,,REH,Advarsel,,17,Andreas SØGAARD,,,,,,1
4.05,2-0,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,7,Thomas ARNOLDSEN,1,Niklas KRAFT,1
4.43,2-1,REH,Mål,VB,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN,1
4.45,,AAH,Advarsel,,17,Martin LARSEN,,,,,,1
5.15,,AAH,Skud reddet,HB,17,Martin LARSEN,,,,1,Niklas KRAFT,1
5.24,2-2,REH,Mål,2:e,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN,1
6.04,,AAH,Skud reddet,ST,20,Felix MÖLLER,,,,1,Niklas KRAFT,1
6.11,2-3,REH,Mål,2:e,6,Jonathan WÜRTZ,,,,12,Fabian NORSTEN,1
6.34,,AAH,Skud reddet,PL,17,Martin LARSEN,,,,1,Niklas KRAFT,1
7.11,2-4,REH,Mål,ST,17,Andreas SØGAARD,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN,1
7.50,,AAH,Skud reddet,VF,6,Sebastian BARTHOLD,,,,1,Niklas KRAFT,1
8.02,,REH,Tilkendt straffe,,81,Alfred JÖNSSON,Forårs. str.,17,Martin LARSEN,,,1
8.02,,AAH,Udvisning,,17,Martin LARSEN,,,,,,1
8.02,2-5,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN,1
8.38,3-5,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,Assist,9,Miguel MARTINS,1,Niklas KRAFT,1
9.18,,REH,Tabt bold,,27,Andre Sindre AHO,Bold erobret,20,Felix MÖLLER,,,1
9.55,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,17,Andreas SØGAARD,,,1
9.55,,REH,Udvisning,,17,Andreas SØGAARD,,,,,,1
09.57,4-5,AAH,Mål på straffe,,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON,2
10.49,,AAH,Udvisning,,20,Felix MÖLLER,,,,,,2
10.56,4-6,REH,Mål VB,,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN,2
11.22,5-6,AAH,Mål VB,,3,Lukas NILSSON,,,,1,Niklas KRAFT,2
11.52,,REH,Tilkendt straffe,,27,Andre Sindre AHO,Forårs. str.,3,Lukas NILSSON,,,2
12.07,5-7,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN,2
13.06,,AAH,Skud blokeret,PL,9,Miguel MARTINS,Blok af (ret),4,Elvar ASGEIRSSON,,,2
13.16,6-7,AAH,Mål ST,,22,Rene ANTONSEN,Assist,9,Miguel MARTINS,1,Niklas KRAFT,2
13.54,,REH,Skud reddet,PL,14,Nicolaj SPANGGAARD,,,,12,Fabian NORSTEN,2
14.35,7-7,AAH,Mål Gbr,,7,Thomas ARNOLDSEN,,,,1,Niklas KRAFT,2
14.35,,REH,Udvisning,,14,Nicolaj SPANGGAARD,,,,,,2
15.11,7-8,REH,Mål PL,,26,Christian TERMANSEN,,,,12,Fabian NORSTEN,2
15.18,8-8,AAH,Mål 2:e,,7,Thomas ARNOLDSEN,,,,1,Niklas KRAFT,2
16.16,,REH,Skud reddet,HF,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN,2
16.37,,AAH,Regelfejl,,9,Miguel MARTINS,,,,,,2
17.12,,REH,Skud på stolpe,PL,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN,2
17.21,,AAH,Skud reddet,1:e,6,Sebastian BARTHOLD,,,,1,Niklas KRAFT,2
18.04,8-9,REH,Mål PL,,26,Christian TERMANSEN,,,,12,Fabian NORSTEN,2
18.14,9-9,AAH,Mål HF,,19,Kristian BJØRNSEN,Assist,7,Thomas ARNOLDSEN,1,Niklas KRAFT,2
18.51,9-10,REH,Mål VB,,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN,2
19.24,10-10,AAH,Mål VB,,7,Thomas ARNOLDSEN,,,,1,Niklas KRAFT,2
20.11,,AAH,Udvisning,,22,Rene ANTONSEN,,,,,,2
20.25,10-11,REH,Mål Gbr,,27,Andre Sindre AHO,,,,12,Fabian NORSTEN,2
21.03,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,26,Christian TERMANSEN,,,2
21.07,11-11,AAH,Mål på straffe,,15,Jack THURIN,,,,1,Niklas KRAFT,3
21.49,,REH,Skud forbi,ST,17,Andreas SØGAARD,,,,12,Fabian NORSTEN,3
22.18,12-11,AAH,Mål,HB,15,Jack THURIN,,,,1,Niklas KRAFT,3
22.36,,REH,Tabt bold,,26,Christian TERMANSEN,Bold erobret,20,Felix MÖLLER,,,3
23.00,13-11,AAH,Mål,ST,20,Felix MÖLLER,Assist,7,Thomas ARNOLDSEN,1,Niklas KRAFT,3
23.47,13-12,REH,Mål,HB,14,Nicolaj SPANGGAARD,Assist,27,Andre Sindre AHO,12,Fabian NORSTEN,3
24.00,,AAH,Skud forbi,PL,9,Miguel MARTINS,,,,1,Niklas KRAFT,4
24.03,,AAH,Udvisning,,7,Thomas ARNOLDSEN,,,,,,4
24.24,,REH,Skud reddet,ST,17,Andreas SØGAARD,Retur,0,,12,Fabian NORSTEN,4
24.36,13-13,REH,Mål,ST,17,Andreas SØGAARD,Assist,27,Andre Sindre AHO,12,Fabian NORSTEN,4
24.40,,AAH,Udvisning,,22,Rene ANTONSEN,,,,,,4
25.04,,AAH,Tilkendt straffe,,9,Miguel MARTINS,Forårs. str.,14,Nicolaj SPANGGAARD,,,4
25.04,,REH,Udvisning,,14,Nicolaj SPANGGAARD,,,,,,4
25.04,14-13,AAH,Mål på straffe,,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON,4
25.56,,REH,Skud reddet,VF,31,Morten JØRGENSEN,,,,12,Fabian NORSTEN,4
26.23,,AAH,Time out,,,,,,,,,4
26.46,15-13,AAH,Mål,Gbr,15,Jack THURIN,Assist,9,Miguel MARTINS,1,Niklas KRAFT,4
27.30,,REH,Time out,,,,,,,,,4
27.49,15-14,REH,Mål,VB,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN,4
28.12,16-14,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,20,Felix MÖLLER,1,Niklas KRAFT,4
28.49,16-15,REH,Mål,VF,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN,4
29.32,17-15,AAH,Mål,PL,15,Jack THURIN,,,,1,Niklas KRAFT,4
30.00,,REH,Skud forbi,VB,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN,4
30.00,17-15,,Halvleg,,,,,,,,,4
30.00,,,Start 2:e halvleg,,,,,,,,,4
30.33,18-15,AAH,Mål,Gbr,18,Aleks VLAH,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON,4
31.40,,REH,Tabt bold,,27,Andre Sindre AHO,Bold erobret,22,Rene ANTONSEN,,,4
32.04,,AAH,Skud reddet,Gbr,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON,4
32.38,,REH,Regelfejl,,31,Morten JØRGENSEN,,,,,,4
33.05,,AAH,Skud på stolpe,VB,18,Aleks VLAH,,,,16,Ágúst BJÖRGVINSSON,4
33.13,18-16,REH,Mål,2:e,81,Alfred JÖNSSON,,,,1,Niklas LANDIN,5
33.21,19-16,AAH,Mål,2:e,19,Kristian BJØRNSEN,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON,5
34.05,19-17,REH,Mål,PL,81,Alfred JÖNSSON,,,,1,Niklas LANDIN,5
34.48,,AAH,Skud reddet,Gbr,18,Aleks VLAH,,,,16,Ágúst BJÖRGVINSSON,5
35.14,,REH,Skud forbi,PL,81,Alfred JÖNSSON,,,,1,Niklas LANDIN,5
36.11,20-17,AAH,Mål,ST,6,Sebastian BARTHOLD,Assist,18,Aleks VLAH,16,Ágúst BJÖRGVINSSON,5
37.32,,REH,Tabt bold,,6,Jonathan WÜRTZ,Bold erobret,7,Thomas ARNOLDSEN,,,5
37.39,21-17,AAH,Mål,2:e,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON,5
37.47,21-18,REH,Mål,Gbr,27,Andre Sindre AHO,,,,1,Niklas LANDIN,5
38.30,,AAH,Tabt bold,,18,Aleks VLAH,Bold erobret,4,Elvar ASGEIRSSON,,,5
38.34,21-19,REH,Mål,1:e,31,Morten JØRGENSEN,Assist,11,Mathias JØRGENSEN,1,Niklas LANDIN,5
39.14,,AAH,Tabt bold,,15,Jack THURIN,,,,,,5
39.25,21-20,REH,Mål,Gbr,27,Andre Sindre AHO,Assist,4,Elvar ASGEIRSSON,1,Niklas LANDIN,5
40.02,22-20,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON,5
40.46,,REH,Tilkendt straffe,,21,Axel FRANZÉN,Forårs. str.,15,Jack THURIN,,,5
41.11,,REH,Straffekast reddet,,11,Mathias JØRGENSEN,,,,1,Niklas LANDIN,5
42.03,,REH,Udvisning,,21,Axel FRANZÉN,,,,,,5
42.18,23-20,AAH,Mål,HF,19,Kristian BJØRNSEN,Assist,18,Aleks VLAH,16,Ágúst BJÖRGVINSSON,5
42.57,,REH,Tilkendt straffe,,14,Nicolaj SPANGGAARD,Forårs. str.,3,Lukas NILSSON,,,5
43.16,,REH,Straffekast reddet,,31,Morten JØRGENSEN,,,,1,Niklas LANDIN,5
43.42,24-20,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,3,Lukas NILSSON,16,Ágúst BJÖRGVINSSON,5
44.39,24-21,REH,Mål,PL,14,Nicolaj SPANGGAARD,,,,1,Niklas LANDIN,5
45.38,25-21,AAH,Mål,ST,6,Sebastian BARTHOLD,Assist,19,Kristian BJØRNSEN,16,Ágúst BJÖRGVINSSON,5
46.14,,REH,Tabt bold,,27,Andre Sindre AHO,Bold erobret,22,Rene ANTONSEN,,,5
46.19,26-21,AAH,Mål,1:e,19,Kristian BJØRNSEN,Assist,3,Lukas NILSSON,1,Niklas KRAFT,6
46.35,,REH,Time out,,,,,,,,,6
47.04,,REH,Tilkendt straffe,,27,Andre Sindre AHO,Forårs. str.,15,Jack THURIN,,,6
47.10,26-22,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,1,Niklas LANDIN,6
47.46,,AAH,Tabt bold,,3,Lukas NILSSON,,,,,,6
47.50,26-23,REH,Mål,1:e,4,Elvar ASGEIRSSON,Assist,6,Jonathan WÜRTZ,1,Niklas LANDIN,6
48.11,,AAH,Udvisning,,3,Lukas NILSSON,,,,,,7
49.11,,AAH,Regelfejl,,18,Aleks VLAH,,,,,,7
49.50,26-24,REH,Mål,HF,11,Mathias JØRGENSEN,Assist,14,Nicolaj SPANGGAARD,1,Niklas LANDIN,7
50.09,,AAH,Time out,,,,,,,,,7
50.29,27-24,AAH,Mål,Gbr,15,Jack THURIN,Assist,7,Thomas ARNOLDSEN,1,Niklas KRAFT,7
51.12,,REH,Skud reddet,PL,27,Andre Sindre AHO,,,,1,Niklas LANDIN,7
51.47,28-24,AAH,Mål,Gbr,18,Aleks VLAH,Assist,15,Jack THURIN,1,Niklas KRAFT,7
52.33,28-25,REH,Mål,Gbr,26,Christian TERMANSEN,,,,1,Niklas LANDIN,7
54.21,29-25,AAH,Mål,HB,15,Jack THURIN,,,,1,Niklas KRAFT,7
55.20,29-26,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,1,Niklas LANDIN,7
55.30,30-26,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,18,Aleks VLAH,1,Niklas KRAFT,7
56.05,,REH,Skud reddet,PL,81,Alfred JÖNSSON,,,,1,Niklas LANDIN,7
56.37,31-26,AAH,Mål,ST,22,Rene ANTONSEN,Assist,7,Thomas ARNOLDSEN,1,Niklas KRAFT,7
56.46,,REH,Time out,,,,,,,,,7
57.16,,REH,Skud reddet,PL,27,Andre Sindre AHO,,,,1,Niklas LANDIN,7
57.23,,AAH,Skud forbi,1:e,1,Niklas LANDIN,,,,,,7
57.33,31-27,REH,Mål,Gbr,27,Andre Sindre AHO,,,,1,Niklas LANDIN,7
58.22,,AAH,Tilkendt straffe,,18,Aleks VLAH,Forårs. str.,6,Jonathan WÜRTZ,,,7
58.22,32-27,AAH,Mål på straffe,,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON,7
58.57,32-28,REH,Mål,Gbr,27,Andre Sindre AHO,,,,1,Niklas LANDIN,7
59.24,,AAH,Skud reddet,ST,22,Rene ANTONSEN,,,,16,Ágúst BJÖRGVINSSON,7
59.33,32-29,REH,Mål,VF,31,Morten JØRGENSEN,Assist,4,Elvar ASGEIRSSON,1,Niklas LANDIN,7
59.57,33-29,AAH,Mål,PL,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON,7
60.00,33-29,,Fuld tid,,,,,,,,,7
60.00,,,Kamp slut,,,,,,,,,8
